"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that we can add description to the existing folder","996","testAddDescription","Surefire suite","2026-07-31","passed","2026-07-31","school.redrover.FolderTest","Surefire test","school.redrover.FolderTest","testAddDescription"
"","0","testDisableProject","Surefire suite","2026-07-31","unknown","2026-07-31","school.redrover.MultiConfigurationTest","Surefire test","school.redrover.MultiConfigurationTest","testDisableProject"
"","0","testCancelUpdateViewDescription","Surefire suite","2026-07-31","unknown","2026-07-31","school.redrover.GeneralViewTest","Surefire test","school.redrover.GeneralViewTest","testCancelUpdateViewDescription"
"Verify that we can't create folder with the same name","367","testCreateWithSameName","Surefire suite","2026-07-31","passed","2026-07-31","school.redrover.FolderTest","Surefire test","school.redrover.FolderTest","testCreateWithSameName"
"","0","testDeleteProjectViaDashboardMenu","Surefire suite","2026-07-31","unknown","2026-07-31","school.redrover.MultibranchPipelineTest","Surefire test","school.redrover.MultibranchPipelineTest","testDeleteProjectViaDashboardMenu"
"","0","testBringTheNodeBackOnline","Surefire suite","2026-07-31","unknown","2026-07-31","school.redrover.NodeTest","Surefire test","school.redrover.NodeTest","testBringTheNodeBackOnline"
"","0","testNodeConfiguration","Surefire suite","2026-07-31","unknown","2026-07-31","school.redrover.NodeTest","Surefire test","school.redrover.NodeTest","testNodeConfiguration"
"","0","testPrepareForShutdown","Surefire suite","2026-07-31","unknown","2026-07-31","school.redrover.ManageJenkinsTest","Surefire test","school.redrover.ManageJenkinsTest","testPrepareForShutdown"
"Verify that we can add metric and choose the filter","2188","testHealthMetrics","Surefire suite","2026-07-31","passed","2026-07-31","school.redrover.FolderTest","Surefire test","school.redrover.FolderTest","testHealthMetrics"
"Verify that we can create nested folder under existing folder","1967","testCreateNestedFolderTest","Surefire suite","2026-07-31","passed","2026-07-31","school.redrover.FolderTest","Surefire test","school.redrover.FolderTest","testCreateNestedFolderTest"
"Verify that we can rename folder","1026","testRename","Surefire suite","2026-07-31","passed","2026-07-31","school.redrover.FolderTest","Surefire test","school.redrover.FolderTest","testRename"
"","0","testDeleteViaSidebar","Surefire suite","2026-07-31","unknown","2026-07-31","school.redrover.MultiConfigurationTest","Surefire test","school.redrover.MultiConfigurationTest","testDeleteViaSidebar"
"","0","testBuildNowDisplaysPopupMessage","Surefire suite","2026-07-31","unknown","2026-07-31","school.redrover.MultiConfigurationTest","Surefire test","school.redrover.MultiConfigurationTest","testBuildNowDisplaysPopupMessage"
"","1676","testCreate","Surefire suite","2026-07-31","passed","2026-07-31","school.redrover.FolderTest","Surefire test","school.redrover.FolderTest","testCreate"
"","0","testsPageItemsWithPrepareForShutdown","Surefire suite","2026-07-31","unknown","2026-07-31","school.redrover.ManageJenkinsTest","Surefire test","school.redrover.ManageJenkinsTest","testsPageItemsWithPrepareForShutdown"
"Verify that we can delete existing folder","878","testDelete","Surefire suite","2026-07-31","passed","2026-07-31","school.redrover.FolderTest","Surefire test","school.redrover.FolderTest","testDelete"
"","1","testUpdateViewDescription","Surefire suite","2026-07-31","unknown","2026-07-31","school.redrover.GeneralViewTest","Surefire test","school.redrover.GeneralViewTest","testUpdateViewDescription"
"","0","testCancelShutdown","Surefire suite","2026-07-31","unknown","2026-07-31","school.redrover.ManageJenkinsTest","Surefire test","school.redrover.ManageJenkinsTest","testCancelShutdown"
"","0","testEditReasonForShutdown","Surefire suite","2026-07-31","unknown","2026-07-31","school.redrover.ManageJenkinsTest","Surefire test","school.redrover.ManageJenkinsTest","testEditReasonForShutdown"
"","0","testChangesAfterBuilding","Surefire suite","2026-07-31","unknown","2026-07-31","school.redrover.MultiConfigurationTest","Surefire test","school.redrover.MultiConfigurationTest","testChangesAfterBuilding"
"","0","testAddDescription","Surefire suite","2026-07-31","unknown","2026-07-31","school.redrover.OrganizationFolderTest","Surefire test","school.redrover.OrganizationFolderTest","testAddDescription"
"","1926","testAddLibraries","Surefire suite","2026-07-31","passed","2026-07-31","school.redrover.FolderTest","Surefire test","school.redrover.FolderTest","testAddLibraries"
